GloOfs,RelOfs,Child,Parent,UseCount,Player,Flags,ActionType,Action,X,Y,Z
115620,82846,0,0,0,0,64,0,0,0,0,0
115635,82861,0,0,0,0,64,0,0,0,0,0
115650,82876,0,0,0,0,64,0,0,0,0,0
115665,82891,0,0,0,0,64,0,0,0,0,0
115680,82906,0,0,0,0,64,0,0,0,0,0
115695,82921,0,0,0,0,64,0,0,0,0,0
115710,82936,0,0,0,0,64,0,0,0,0,0
115725,82951,0,0,0,0,64,0,0,0,0,0
115740,82966,0,0,0,0,64,0,0,0,0,0
115755,82981,0,0,0,0,64,0,0,0,0,0
115770,82996,0,0,0,0,64,0,0,0,0,0
115785,83011,0,0,0,0,64,0,0,0,0,0
115800,83026,0,0,0,0,64,0,0,0,0,0
115815,83041,0,0,0,0,64,0,0,0,0,0
115830,83056,0,0,0,0,64,0,0,0,0,0
115845,83071,0,0,0,0,64,0,0,0,0,0
115860,83086,0,0,0,0,64,0,0,0,0,0
115875,83101,0,0,0,0,64,0,0,0,0,0
115890,83116,0,0,0,0,64,0,0,0,0,0
115905,83131,0,0,0,0,64,0,0,0,0,0
115920,83146,0,0,0,0,64,0,0,0,0,0
115935,83161,0,0,0,0,64,0,0,0,0,0
115950,83176,0,0,0,0,64,0,0,0,0,0
115965,83191,0,0,0,0,64,0,0,0,0,0
115980,83206,0,0,0,0,64,0,0,0,0,0
115995,83221,0,0,0,0,64,0,0,0,0,0
