Index,GloOfs,RelOfs,LocOfs,Next,Data,DataType,GotoX,GotoY,GotoZ,State,State_S
81,97776,65002,648,0,0,TT_NONE,0,212,0,0,CS_NONE
82,97784,65010,656,0,0,TT_NONE,0,212,0,0,CS_NONE
83,97792,65018,664,0,0,TT_NONE,0,212,0,0,CS_NONE
84,97800,65026,672,0,0,TT_NONE,0,212,0,0,CS_NONE
85,97808,65034,680,0,0,TT_NONE,0,212,0,0,CS_NONE
86,97816,65042,688,0,0,TT_NONE,0,212,0,0,CS_NONE
87,97824,65050,696,0,0,TT_NONE,0,212,0,0,CS_NONE
88,97832,65058,704,0,0,TT_NONE,0,212,0,0,CS_NONE
89,97840,65066,712,0,0,TT_NONE,0,212,0,0,CS_NONE
90,97848,65074,720,0,0,TT_NONE,0,212,0,0,CS_NONE
91,97856,65082,728,0,0,TT_NONE,0,212,0,0,CS_NONE
92,97864,65090,736,0,0,TT_NONE,0,212,0,0,CS_NONE
93,97872,65098,744,0,0,TT_NONE,0,212,0,0,CS_NONE
94,97880,65106,752,0,0,TT_NONE,0,212,0,0,CS_NONE
95,97888,65114,760,0,0,TT_NONE,0,212,0,0,CS_NONE
96,97896,65122,768,0,0,TT_NONE,0,212,0,0,CS_NONE
97,97904,65130,776,0,0,TT_NONE,0,212,0,0,CS_NONE
98,97912,65138,784,0,0,TT_NONE,0,212,0,0,CS_NONE
99,97920,65146,792,0,0,TT_NONE,0,212,0,0,CS_NONE
100,97928,65154,800,0,0,TT_NONE,0,212,0,0,CS_NONE
101,97936,65162,808,0,0,TT_NONE,0,212,0,0,CS_NONE
102,97944,65170,816,0,0,TT_NONE,0,212,0,0,CS_NONE
103,97952,65178,824,0,0,TT_NONE,0,212,0,0,CS_NONE
104,97960,65186,832,0,0,TT_NONE,0,212,0,0,CS_NONE
105,97968,65194,840,0,0,TT_NONE,0,212,0,0,CS_NONE
106,97976,65202,848,0,0,TT_NONE,0,212,0,0,CS_NONE
107,97984,65210,856,0,0,TT_NONE,0,212,0,0,CS_NONE
108,97992,65218,864,0,0,TT_NONE,0,212,0,0,CS_NONE
109,98000,65226,872,0,0,TT_NONE,0,212,0,0,CS_NONE
110,98008,65234,880,0,0,TT_NONE,0,212,0,0,CS_NONE
111,98016,65242,888,0,0,TT_NONE,0,212,0,0,CS_NONE
112,98024,65250,896,0,0,TT_NONE,0,212,0,0,CS_NONE
113,98032,65258,904,0,0,TT_NONE,0,212,0,0,CS_NONE
114,98040,65266,912,0,0,TT_NONE,0,212,0,0,CS_NONE
115,98048,65274,920,0,0,TT_NONE,0,212,0,0,CS_NONE
116,98056,65282,928,0,0,TT_NONE,0,212,0,0,CS_NONE
117,98064,65290,936,0,0,TT_NONE,0,212,0,0,CS_NONE
118,98072,65298,944,0,0,TT_NONE,0,212,0,0,CS_NONE
119,98080,65306,952,0,0,TT_NONE,0,212,0,0,CS_NONE
120,98088,65314,960,0,0,TT_NONE,0,212,0,0,CS_NONE
121,98096,65322,968,0,0,TT_NONE,0,212,0,0,CS_NONE
122,98104,65330,976,0,0,TT_NONE,0,212,0,0,CS_NONE
123,98112,65338,984,0,0,TT_NONE,0,212,0,0,CS_NONE
124,98120,65346,992,0,0,TT_NONE,0,212,0,0,CS_NONE
125,98128,65354,1000,0,0,TT_NONE,0,212,0,0,CS_NONE
126,98136,65362,1008,0,0,TT_NONE,0,212,0,0,CS_NONE
127,98144,65370,1016,0,0,TT_NONE,0,212,0,0,CS_NONE
128,98152,65378,1024,0,0,TT_NONE,0,212,0,0,CS_NONE
129,98160,65386,1032,0,0,TT_NONE,0,212,0,0,CS_NONE
130,98168,65394,1040,0,0,TT_NONE,0,212,0,0,CS_NONE
131,98176,65402,1048,0,0,TT_NONE,0,212,0,0,CS_NONE
132,98184,65410,1056,0,0,TT_NONE,0,212,0,0,CS_NONE
133,98192,65418,1064,0,0,TT_NONE,0,212,0,0,CS_NONE
134,98200,65426,1072,0,0,TT_NONE,0,212,0,0,CS_NONE
135,98208,65434,1080,0,0,TT_NONE,0,212,0,0,CS_NONE
136,98216,65442,1088,0,0,TT_NONE,0,212,0,0,CS_NONE
137,98224,65450,1096,0,0,TT_NONE,0,212,0,0,CS_NONE
138,98232,65458,1104,0,0,TT_NONE,0,212,0,0,CS_NONE
139,98240,65466,1112,0,0,TT_NONE,0,212,0,0,CS_NONE
140,98248,65474,1120,0,0,TT_NONE,0,212,0,0,CS_NONE
141,98256,65482,1128,0,0,TT_NONE,0,212,0,0,CS_NONE
142,98264,65490,1136,0,0,TT_NONE,0,212,0,0,CS_NONE
143,98272,65498,1144,0,0,TT_NONE,0,212,0,0,CS_NONE
144,98280,65506,1152,0,0,TT_NONE,0,212,0,0,CS_NONE
145,98288,65514,1160,0,0,TT_NONE,0,212,0,0,CS_NONE
146,98296,65522,1168,0,0,TT_NONE,0,212,0,0,CS_NONE
147,98304,65530,1176,0,0,TT_NONE,0,212,0,0,CS_NONE
148,98312,65538,1184,0,0,TT_NONE,0,212,0,0,CS_NONE
149,98320,65546,1192,0,0,TT_NONE,0,212,0,0,CS_NONE
150,98328,65554,1200,0,0,TT_NONE,0,212,0,0,CS_NONE
151,98336,65562,1208,0,0,TT_NONE,0,212,0,0,CS_NONE
152,98344,65570,1216,0,0,TT_NONE,0,212,0,0,CS_NONE
153,98352,65578,1224,0,0,TT_NONE,0,212,0,0,CS_NONE
154,98360,65586,1232,0,0,TT_NONE,0,212,0,0,CS_NONE
155,98368,65594,1240,0,0,TT_NONE,0,212,0,0,CS_NONE
156,98376,65602,1248,0,0,TT_NONE,0,212,0,0,CS_NONE
157,98384,65610,1256,0,0,TT_NONE,0,212,0,0,CS_NONE
158,98392,65618,1264,0,0,TT_NONE,0,212,0,0,CS_NONE
159,98400,65626,1272,0,0,TT_NONE,0,212,0,0,CS_NONE
160,98408,65634,1280,0,0,TT_NONE,0,212,0,0,CS_NONE
161,98416,65642,1288,0,0,TT_NONE,0,212,0,0,CS_NONE
162,98424,65650,1296,0,0,TT_NONE,0,212,0,0,CS_NONE
163,98432,65658,1304,0,0,TT_NONE,0,212,0,0,CS_NONE
164,98440,65666,1312,0,0,TT_NONE,0,212,0,0,CS_NONE
165,98448,65674,1320,0,0,TT_NONE,0,212,0,0,CS_NONE
166,98456,65682,1328,0,0,TT_NONE,0,212,0,0,CS_NONE
167,98464,65690,1336,0,0,TT_NONE,0,212,0,0,CS_NONE
168,98472,65698,1344,0,0,TT_NONE,0,212,0,0,CS_NONE
169,98480,65706,1352,0,0,TT_NONE,0,212,0,0,CS_NONE
170,98488,65714,1360,0,0,TT_NONE,0,212,0,0,CS_NONE
171,98496,65722,1368,0,0,TT_NONE,0,212,0,0,CS_NONE
172,98504,65730,1376,0,0,TT_NONE,0,212,0,0,CS_NONE
173,98512,65738,1384,0,0,TT_NONE,0,212,0,0,CS_NONE
174,98520,65746,1392,0,0,TT_NONE,0,212,0,0,CS_NONE
175,98528,65754,1400,0,0,TT_NONE,0,212,0,0,CS_NONE
176,98536,65762,1408,0,0,TT_NONE,0,212,0,0,CS_NONE
177,98544,65770,1416,0,0,TT_NONE,0,212,0,0,CS_NONE
178,98552,65778,1424,0,0,TT_NONE,0,212,0,0,CS_NONE
179,98560,65786,1432,0,0,TT_NONE,0,212,0,0,CS_NONE
180,98568,65794,1440,0,0,TT_NONE,0,212,0,0,CS_NONE
181,98576,65802,1448,0,0,TT_NONE,0,212,0,0,CS_NONE
182,98584,65810,1456,0,0,TT_NONE,0,212,0,0,CS_NONE
183,98592,65818,1464,0,0,TT_NONE,0,212,0,0,CS_NONE
184,98600,65826,1472,0,0,TT_NONE,0,212,0,0,CS_NONE
185,98608,65834,1480,0,0,TT_NONE,0,212,0,0,CS_NONE
186,98616,65842,1488,0,0,TT_NONE,0,212,0,0,CS_NONE
187,98624,65850,1496,0,0,TT_NONE,0,212,0,0,CS_NONE
188,98632,65858,1504,0,0,TT_NONE,0,212,0,0,CS_NONE
189,98640,65866,1512,0,0,TT_NONE,0,212,0,0,CS_NONE
190,98648,65874,1520,0,0,TT_NONE,0,212,0,0,CS_NONE
191,98656,65882,1528,0,0,TT_NONE,0,212,0,0,CS_NONE
192,98664,65890,1536,0,0,TT_NONE,0,212,0,0,CS_NONE
193,98672,65898,1544,0,0,TT_NONE,0,212,0,0,CS_NONE
194,98680,65906,1552,0,0,TT_NONE,0,212,0,0,CS_NONE
195,98688,65914,1560,0,0,TT_NONE,0,212,0,0,CS_NONE
196,98696,65922,1568,0,0,TT_NONE,0,212,0,0,CS_NONE
197,98704,65930,1576,0,0,TT_NONE,0,212,0,0,CS_NONE
198,98712,65938,1584,0,0,TT_NONE,0,212,0,0,CS_NONE
199,98720,65946,1592,0,0,TT_NONE,0,212,0,0,CS_NONE
200,98728,65954,1600,0,0,TT_NONE,0,212,0,0,CS_NONE
201,98736,65962,1608,0,0,TT_NONE,0,212,0,0,CS_NONE
202,98744,65970,1616,0,0,TT_NONE,0,212,0,0,CS_NONE
203,98752,65978,1624,0,0,TT_NONE,0,212,0,0,CS_NONE
204,98760,65986,1632,0,0,TT_NONE,0,212,0,0,CS_NONE
205,98768,65994,1640,0,0,TT_NONE,0,212,0,0,CS_NONE
206,98776,66002,1648,0,0,TT_NONE,0,212,0,0,CS_NONE
207,98784,66010,1656,0,0,TT_NONE,0,212,0,0,CS_NONE
208,98792,66018,1664,0,0,TT_NONE,0,212,0,0,CS_NONE
209,98800,66026,1672,0,0,TT_NONE,0,212,0,0,CS_NONE
210,98808,66034,1680,0,0,TT_NONE,0,212,0,0,CS_NONE
211,98816,66042,1688,0,0,TT_NONE,0,212,0,0,CS_NONE
212,98824,66050,1696,0,0,TT_NONE,0,212,0,0,CS_NONE
213,98832,66058,1704,0,0,TT_NONE,0,212,0,0,CS_NONE
214,98840,66066,1712,0,0,TT_NONE,0,212,0,0,CS_NONE
215,98848,66074,1720,0,0,TT_NONE,0,212,0,0,CS_NONE
216,98856,66082,1728,0,0,TT_NONE,0,212,0,0,CS_NONE
217,98864,66090,1736,0,0,TT_NONE,0,212,0,0,CS_NONE
218,98872,66098,1744,0,0,TT_NONE,0,212,0,0,CS_NONE
219,98880,66106,1752,0,0,TT_NONE,0,212,0,0,CS_NONE
220,98888,66114,1760,0,0,TT_NONE,0,212,0,0,CS_NONE
221,98896,66122,1768,0,0,TT_NONE,0,212,0,0,CS_NONE
222,98904,66130,1776,0,0,TT_NONE,0,212,0,0,CS_NONE
223,98912,66138,1784,0,0,TT_NONE,0,212,0,0,CS_NONE
224,98920,66146,1792,0,0,TT_NONE,0,212,0,0,CS_NONE
225,98928,66154,1800,0,0,TT_NONE,0,212,0,0,CS_NONE
226,98936,66162,1808,0,0,TT_NONE,0,212,0,0,CS_NONE
227,98944,66170,1816,0,0,TT_NONE,0,212,0,0,CS_NONE
228,98952,66178,1824,0,0,TT_NONE,0,212,0,0,CS_NONE
229,98960,66186,1832,0,0,TT_NONE,0,212,0,0,CS_NONE
230,98968,66194,1840,0,0,TT_NONE,0,212,0,0,CS_NONE
231,98976,66202,1848,0,0,TT_NONE,0,212,0,0,CS_NONE
232,98984,66210,1856,0,0,TT_NONE,0,212,0,0,CS_NONE
233,98992,66218,1864,0,0,TT_NONE,0,212,0,0,CS_NONE
234,99000,66226,1872,0,0,TT_NONE,0,212,0,0,CS_NONE
235,99008,66234,1880,0,0,TT_NONE,0,212,0,0,CS_NONE
236,99016,66242,1888,0,0,TT_NONE,0,212,0,0,CS_NONE
237,99024,66250,1896,0,0,TT_NONE,0,212,0,0,CS_NONE
238,99032,66258,1904,0,0,TT_NONE,0,212,0,0,CS_NONE
239,99040,66266,1912,0,0,TT_NONE,0,212,0,0,CS_NONE
240,99048,66274,1920,0,0,TT_NONE,0,212,0,0,CS_NONE
241,99056,66282,1928,0,0,TT_NONE,0,212,0,0,CS_NONE
242,99064,66290,1936,0,0,TT_NONE,0,212,0,0,CS_NONE
243,99072,66298,1944,0,0,TT_NONE,0,212,0,0,CS_NONE
244,99080,66306,1952,0,0,TT_NONE,0,212,0,0,CS_NONE
245,99088,66314,1960,0,0,TT_NONE,0,212,0,0,CS_NONE
246,99096,66322,1968,0,0,TT_NONE,0,212,0,0,CS_NONE
247,99104,66330,1976,0,0,TT_NONE,0,212,0,0,CS_NONE
248,99112,66338,1984,0,0,TT_NONE,0,212,0,0,CS_NONE
249,99120,66346,1992,0,0,TT_NONE,0,212,0,0,CS_NONE
250,99128,66354,2000,0,0,TT_NONE,0,212,0,0,CS_NONE
251,99136,66362,2008,0,0,TT_NONE,0,212,0,0,CS_NONE
252,99144,66370,2016,0,0,TT_NONE,0,212,0,0,CS_NONE
253,99152,66378,2024,0,0,TT_NONE,0,212,0,0,CS_NONE
254,99160,66386,2032,0,0,TT_NONE,0,212,0,0,CS_NONE
255,99168,66394,2040,0,0,TT_NONE,0,212,0,0,CS_NONE
256,99176,66402,2048,0,0,TT_NONE,0,212,0,0,CS_NONE
257,99184,66410,2056,0,0,TT_NONE,0,212,0,0,CS_NONE
258,99192,66418,2064,0,0,TT_NONE,0,212,0,0,CS_NONE
259,99200,66426,2072,0,0,TT_NONE,0,212,0,0,CS_NONE
260,99208,66434,2080,0,0,TT_NONE,0,212,0,0,CS_NONE
261,99216,66442,2088,0,0,TT_NONE,0,212,0,0,CS_NONE
262,99224,66450,2096,0,0,TT_NONE,0,212,0,0,CS_NONE
263,99232,66458,2104,0,0,TT_NONE,0,212,0,0,CS_NONE
264,99240,66466,2112,0,0,TT_NONE,0,212,0,0,CS_NONE
265,99248,66474,2120,0,0,TT_NONE,0,212,0,0,CS_NONE
266,99256,66482,2128,0,0,TT_NONE,0,212,0,0,CS_NONE
267,99264,66490,2136,0,0,TT_NONE,0,212,0,0,CS_NONE
268,99272,66498,2144,0,0,TT_NONE,0,212,0,0,CS_NONE
269,99280,66506,2152,0,0,TT_NONE,0,212,0,0,CS_NONE
270,99288,66514,2160,0,0,TT_NONE,0,212,0,0,CS_NONE
271,99296,66522,2168,0,0,TT_NONE,0,212,0,0,CS_NONE
272,99304,66530,2176,0,0,TT_NONE,0,212,0,0,CS_NONE
273,99312,66538,2184,0,0,TT_NONE,0,212,0,0,CS_NONE
274,99320,66546,2192,0,0,TT_NONE,0,212,0,0,CS_NONE
275,99328,66554,2200,0,0,TT_NONE,0,212,0,0,CS_NONE
276,99336,66562,2208,0,0,TT_NONE,0,212,0,0,CS_NONE
277,99344,66570,2216,0,0,TT_NONE,0,212,0,0,CS_NONE
278,99352,66578,2224,0,0,TT_NONE,0,212,0,0,CS_NONE
279,99360,66586,2232,0,0,TT_NONE,0,212,0,0,CS_NONE
280,99368,66594,2240,0,0,TT_NONE,0,212,0,0,CS_NONE
281,99376,66602,2248,0,0,TT_NONE,0,212,0,0,CS_NONE
282,99384,66610,2256,0,0,TT_NONE,0,212,0,0,CS_NONE
283,99392,66618,2264,0,0,TT_NONE,0,212,0,0,CS_NONE
284,99400,66626,2272,0,0,TT_NONE,0,212,0,0,CS_NONE
285,99408,66634,2280,0,0,TT_NONE,0,212,0,0,CS_NONE
286,99416,66642,2288,0,0,TT_NONE,0,212,0,0,CS_NONE
287,99424,66650,2296,0,0,TT_NONE,0,212,0,0,CS_NONE
288,99432,66658,2304,0,0,TT_NONE,0,212,0,0,CS_NONE
289,99440,66666,2312,0,0,TT_NONE,0,212,0,0,CS_NONE
290,99448,66674,2320,0,0,TT_NONE,0,212,0,0,CS_NONE
291,99456,66682,2328,0,0,TT_NONE,0,212,0,0,CS_NONE
292,99464,66690,2336,0,0,TT_NONE,0,212,0,0,CS_NONE
293,99472,66698,2344,0,0,TT_NONE,0,212,0,0,CS_NONE
294,99480,66706,2352,0,0,TT_NONE,0,212,0,0,CS_NONE
295,99488,66714,2360,0,0,TT_NONE,0,212,0,0,CS_NONE
296,99496,66722,2368,0,0,TT_NONE,0,212,0,0,CS_NONE
297,99504,66730,2376,0,0,TT_NONE,0,212,0,0,CS_NONE
298,99512,66738,2384,0,0,TT_NONE,0,212,0,0,CS_NONE
299,99520,66746,2392,0,0,TT_NONE,0,212,0,0,CS_NONE
300,99528,66754,2400,0,0,TT_NONE,0,212,0,0,CS_NONE
301,99536,66762,2408,0,0,TT_NONE,0,212,0,0,CS_NONE
302,99544,66770,2416,0,0,TT_NONE,0,212,0,0,CS_NONE
303,99552,66778,2424,0,0,TT_NONE,0,212,0,0,CS_NONE
304,99560,66786,2432,0,0,TT_NONE,0,212,0,0,CS_NONE
305,99568,66794,2440,0,0,TT_NONE,0,212,0,0,CS_NONE
306,99576,66802,2448,0,0,TT_NONE,0,212,0,0,CS_NONE
307,99584,66810,2456,0,0,TT_NONE,0,212,0,0,CS_NONE
308,99592,66818,2464,0,0,TT_NONE,0,212,0,0,CS_NONE
309,99600,66826,2472,0,0,TT_NONE,0,212,0,0,CS_NONE
310,99608,66834,2480,0,0,TT_NONE,0,212,0,0,CS_NONE
311,99616,66842,2488,0,0,TT_NONE,0,212,0,0,CS_NONE
312,99624,66850,2496,0,0,TT_NONE,0,212,0,0,CS_NONE
313,99632,66858,2504,0,0,TT_NONE,0,212,0,0,CS_NONE
314,99640,66866,2512,0,0,TT_NONE,0,212,0,0,CS_NONE
315,99648,66874,2520,0,0,TT_NONE,0,212,0,0,CS_NONE
316,99656,66882,2528,0,0,TT_NONE,0,212,0,0,CS_NONE
317,99664,66890,2536,0,0,TT_NONE,0,212,0,0,CS_NONE
318,99672,66898,2544,0,0,TT_NONE,0,212,0,0,CS_NONE
319,99680,66906,2552,0,0,TT_NONE,0,212,0,0,CS_NONE
320,99688,66914,2560,0,0,TT_NONE,0,212,0,0,CS_NONE
321,99696,66922,2568,0,0,TT_NONE,0,212,0,0,CS_NONE
322,99704,66930,2576,0,0,TT_NONE,0,212,0,0,CS_NONE
323,99712,66938,2584,0,0,TT_NONE,0,212,0,0,CS_NONE
324,99720,66946,2592,0,0,TT_NONE,0,212,0,0,CS_NONE
325,99728,66954,2600,0,0,TT_NONE,0,212,0,0,CS_NONE
326,99736,66962,2608,0,0,TT_NONE,0,212,0,0,CS_NONE
327,99744,66970,2616,0,0,TT_NONE,0,212,0,0,CS_NONE
328,99752,66978,2624,0,0,TT_NONE,0,212,0,0,CS_NONE
329,99760,66986,2632,0,0,TT_NONE,0,212,0,0,CS_NONE
330,99768,66994,2640,0,0,TT_NONE,0,212,0,0,CS_NONE
331,99776,67002,2648,0,0,TT_NONE,0,212,0,0,CS_NONE
332,99784,67010,2656,0,0,TT_NONE,0,212,0,0,CS_NONE
333,99792,67018,2664,0,0,TT_NONE,0,212,0,0,CS_NONE
334,99800,67026,2672,0,0,TT_NONE,0,212,0,0,CS_NONE
335,99808,67034,2680,0,0,TT_NONE,0,212,0,0,CS_NONE
336,99816,67042,2688,0,0,TT_NONE,0,212,0,0,CS_NONE
337,99824,67050,2696,0,0,TT_NONE,0,212,0,0,CS_NONE
338,99832,67058,2704,0,0,TT_NONE,0,212,0,0,CS_NONE
339,99840,67066,2712,0,0,TT_NONE,0,212,0,0,CS_NONE
340,99848,67074,2720,0,0,TT_NONE,0,212,0,0,CS_NONE
341,99856,67082,2728,0,0,TT_NONE,0,212,0,0,CS_NONE
342,99864,67090,2736,0,0,TT_NONE,0,212,0,0,CS_NONE
343,99872,67098,2744,0,0,TT_NONE,0,212,0,0,CS_NONE
344,99880,67106,2752,0,0,TT_NONE,0,212,0,0,CS_NONE
345,99888,67114,2760,0,0,TT_NONE,0,212,0,0,CS_NONE
346,99896,67122,2768,0,0,TT_NONE,0,212,0,0,CS_NONE
347,99904,67130,2776,0,0,TT_NONE,0,212,0,0,CS_NONE
348,99912,67138,2784,0,0,TT_NONE,0,212,0,0,CS_NONE
349,99920,67146,2792,0,0,TT_NONE,0,212,0,0,CS_NONE
350,99928,67154,2800,0,0,TT_NONE,0,212,0,0,CS_NONE
351,99936,67162,2808,0,0,TT_NONE,0,212,0,0,CS_NONE
352,99944,67170,2816,0,0,TT_NONE,0,212,0,0,CS_NONE
353,99952,67178,2824,0,0,TT_NONE,0,212,0,0,CS_NONE
354,99960,67186,2832,0,0,TT_NONE,0,212,0,0,CS_NONE
355,99968,67194,2840,0,0,TT_NONE,0,212,0,0,CS_NONE
356,99976,67202,2848,0,0,TT_NONE,0,212,0,0,CS_NONE
357,99984,67210,2856,0,0,TT_NONE,0,212,0,0,CS_NONE
358,99992,67218,2864,0,0,TT_NONE,0,212,0,0,CS_NONE
359,100000,67226,2872,0,0,TT_NONE,0,212,0,0,CS_NONE
360,100008,67234,2880,0,0,TT_NONE,0,212,0,0,CS_NONE
361,100016,67242,2888,0,0,TT_NONE,0,212,0,0,CS_NONE
362,100024,67250,2896,0,0,TT_NONE,0,212,0,0,CS_NONE
363,100032,67258,2904,0,0,TT_NONE,0,212,0,0,CS_NONE
364,100040,67266,2912,0,0,TT_NONE,0,212,0,0,CS_NONE
365,100048,67274,2920,0,0,TT_NONE,0,212,0,0,CS_NONE
366,100056,67282,2928,0,0,TT_NONE,0,212,0,0,CS_NONE
367,100064,67290,2936,0,0,TT_NONE,0,212,0,0,CS_NONE
368,100072,67298,2944,0,0,TT_NONE,0,212,0,0,CS_NONE
369,100080,67306,2952,0,0,TT_NONE,0,212,0,0,CS_NONE
