GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Xtile,Ytile,Status,Status_S,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,Model_S,State,Angle,ZAngle,Unknown[0],Unknown[1]
60636,27862,0,0,21604,11356,256,84,44,6,UNDEFINED,0,0,2288,558,50,0,5,TM_OBJECT,22,128,0,0,0
60666,27892,0,0,19768,7032,256,77,27,6,UNDEFINED,0,0,2288,558,50,0,5,TM_OBJECT,22,192,0,0,0
60696,27922,0,0,5944,12440,256,23,48,6,UNDEFINED,0,0,2521,561,50,0,5,TM_OBJECT,25,192,0,0,0
60726,27952,0,0,5972,7324,256,23,28,6,UNDEFINED,0,0,2521,561,50,0,5,TM_OBJECT,25,192,0,0,0
60756,27982,0,0,14916,7308,256,58,28,6,UNDEFINED,0,0,2521,561,50,0,5,TM_OBJECT,25,192,0,0,0
60786,28012,0,0,14900,12092,256,58,47,6,UNDEFINED,0,0,2521,561,50,0,5,TM_OBJECT,25,192,0,0,0
60816,28042,0,30202,7756,17444,256,30,68,6,UNDEFINED,0,0,2460,562,50,0,5,TM_OBJECT,26,192,0,0,0
60846,28072,0,28102,3432,16408,256,13,64,6,UNDEFINED,0,0,2460,562,50,0,5,TM_OBJECT,26,192,0,0,0
60876,28102,28072,0,3532,16404,256,13,64,6,UNDEFINED,0,0,2460,562,50,0,5,TM_OBJECT,26,192,0,0,0
60906,28132,0,0,4644,9100,256,18,35,6,UNDEFINED,0,0,2460,562,50,0,5,TM_OBJECT,26,192,0,0,0
60936,28162,26962,0,7548,4388,256,29,17,6,UNDEFINED,0,0,2460,562,50,0,5,TM_OBJECT,26,192,0,0,0
60966,28192,0,0,14408,4392,256,56,17,6,UNDEFINED,0,0,2460,562,50,0,5,TM_OBJECT,26,192,0,0,0
60996,28222,0,0,25660,4660,256,100,18,6,UNDEFINED,0,0,2460,562,50,0,5,TM_OBJECT,26,192,0,0,0
61026,28252,0,0,3872,15056,256,15,58,6,UNDEFINED,0,0,2460,562,50,0,5,TM_OBJECT,26,192,0,0,0
61056,28282,26902,0,4724,8028,1024,18,31,6,UNDEFINED,0,573,2830,573,50,0,5,TM_OBJECT,31,192,0,0,0
61086,28312,0,0,9892,6924,1024,38,27,6,UNDEFINED,0,570,2536,570,50,0,5,TM_OBJECT,31,192,0,0,0
61116,28342,0,0,24056,6408,896,93,25,6,UNDEFINED,0,571,2868,571,50,0,5,TM_OBJECT,31,192,0,0,0
61146,28372,0,0,20068,11980,896,78,46,6,UNDEFINED,0,575,2758,575,50,0,5,TM_OBJECT,31,192,0,0,0
61176,28402,0,0,20068,14028,896,78,54,6,UNDEFINED,0,573,2843,573,50,0,5,TM_OBJECT,31,192,0,0,0
61206,28432,0,0,8572,17012,1024,33,66,6,UNDEFINED,0,575,2758,575,50,0,5,TM_OBJECT,31,192,0,0,0
61236,28462,0,28492,20044,14324,1152,78,55,6,UNDEFINED,0,1069,4947,1070,50,0,5,TM_OBJECT,10,192,0,0,0
61266,28492,28462,28522,20012,14292,1024,78,55,6,UNDEFINED,0,1071,4696,1072,50,0,5,TM_OBJECT,10,192,0,0,0
61296,28522,28492,0,19980,14260,896,78,55,6,UNDEFINED,0,1073,4698,1074,50,0,5,TM_OBJECT,10,192,0,0,0
61326,28552,0,28672,20044,12276,1152,78,47,6,UNDEFINED,0,1069,4947,1070,50,0,5,TM_OBJECT,10,192,0,0,0
61356,28582,27622,28612,20052,13724,1152,78,53,6,UNDEFINED,0,1069,4948,1070,50,0,5,TM_OBJECT,10,192,0,0,0
61386,28612,28582,28642,20020,13692,1024,78,53,6,UNDEFINED,0,1071,4696,1072,50,0,5,TM_OBJECT,10,192,0,0,0
61416,28642,28612,0,19996,13668,896,78,53,6,UNDEFINED,0,1073,4698,1074,50,0,5,TM_OBJECT,10,192,0,0,0
61446,28672,28552,28702,20012,12244,1024,78,47,6,UNDEFINED,0,1071,4696,1072,50,0,5,TM_OBJECT,10,192,0,0,0
61476,28702,28672,0,19980,12212,896,78,47,6,UNDEFINED,0,1073,4698,1074,50,0,5,TM_OBJECT,10,192,0,0,0
61506,28732,0,28762,20052,11676,1152,78,45,6,UNDEFINED,0,1069,4948,1070,50,0,5,TM_OBJECT,10,192,0,0,0
61536,28762,28732,28792,20020,11644,1024,78,45,6,UNDEFINED,0,1071,4696,1072,50,0,5,TM_OBJECT,10,192,0,0,0
61566,28792,28762,0,19996,11620,896,78,45,6,UNDEFINED,0,1073,4698,1074,50,0,5,TM_OBJECT,10,192,0,0,0
61596,28822,0,0,18156,16116,256,70,62,6,UNDEFINED,0,1061,4909,1061,50,0,5,TM_OBJECT,10,0,0,0,0
61626,28852,0,0,18300,16260,256,71,63,6,UNDEFINED,0,1063,4917,1063,50,0,5,TM_OBJECT,10,0,0,0,0
61656,28882,0,28912,8516,16460,768,33,64,6,UNDEFINED,0,1069,4946,1070,50,0,5,TM_OBJECT,10,64,0,0,0
61686,28912,28882,28942,8484,16428,640,33,64,6,UNDEFINED,0,1071,4964,1072,50,0,5,TM_OBJECT,10,64,0,0,0
61716,28942,28912,0,8452,16396,512,33,64,6,UNDEFINED,0,1073,4975,1074,50,0,5,TM_OBJECT,10,64,0,0,0
61746,28972,0,0,3836,16468,640,14,64,6,UNDEFINED,0,1065,4657,1065,50,0,5,TM_OBJECT,10,0,0,0,0
61776,29002,0,0,4732,4452,1152,18,17,6,UNDEFINED,0,1063,4654,1063,50,0,5,TM_OBJECT,10,128,0,0,0
61806,29032,0,0,8200,4312,1024,32,16,6,UNDEFINED,0,1065,4934,1066,50,0,5,TM_OBJECT,10,192,0,0,0
61836,29062,40474,0,8964,4444,512,35,17,6,UNDEFINED,0,1073,4970,1073,50,0,5,TM_OBJECT,10,0,0,0,0
61866,29092,0,0,11332,4412,512,44,17,6,UNDEFINED,0,1067,4938,1067,50,0,5,TM_OBJECT,10,0,0,0,0
61896,29122,0,0,19972,3212,1152,78,12,6,UNDEFINED,0,570,2540,570,50,0,5,TM_OBJECT,31,0,0,0,0
61926,29152,0,0,14968,11896,256,58,46,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,0,0,0,0
61956,29182,0,0,15180,11892,256,59,46,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,0,0,0,0
61986,29212,0,0,15420,11892,256,60,46,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,0,0,0,0
62016,29242,0,29272,18820,17308,256,73,67,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,0,0,0,0
62046,29272,29242,0,18828,17188,256,73,67,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,0,0,0,0
62076,29302,0,30082,18964,17324,256,74,67,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,0,0,0,0
62106,29332,0,29362,20156,16708,256,78,65,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,0,0,0,0
62136,29362,29332,29392,20148,16828,256,78,65,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,0,0,0,0
62166,29392,29362,0,20040,16728,256,78,65,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,0,0,0,0
62196,29422,0,29452,15476,4172,256,60,16,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,192,0,0,0
62226,29452,29422,0,15612,4164,256,60,16,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,192,0,0,0
62256,29482,0,29512,15472,4032,256,60,15,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,192,0,0,0
62286,29512,29482,0,15452,3860,256,60,15,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,192,0,0,0
62316,29542,0,29572,15456,3728,256,60,14,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,192,0,0,0
62346,29572,29542,0,15580,3716,256,60,14,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,192,0,0,0
62376,29602,0,0,20272,4144,256,79,16,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,192,0,0,0
62406,29632,0,29662,20284,4004,256,79,15,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,192,0,0,0
62436,29662,29632,0,20308,3868,256,79,15,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,192,0,0,0
62466,29692,0,0,20308,3708,256,79,14,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,192,0,0,0
62496,29722,0,0,20148,3708,256,78,14,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,192,0,0,0
62526,29752,0,0,20116,4140,256,78,16,6,UNDEFINED,0,2,1401,230,50,0,5,TM_OBJECT,22,192,0,0,0
62556,29782,0,0,3920,16208,256,15,63,6,UNDEFINED,0,3,1409,233,50,0,5,TM_OBJECT,22,192,0,0,0
62586,29812,0,0,4400,16208,256,17,63,6,UNDEFINED,0,3,1409,233,50,0,5,TM_OBJECT,22,192,0,0,0
62616,29842,0,0,3896,14648,256,15,57,6,UNDEFINED,0,3,1409,233,50,0,5,TM_OBJECT,22,192,0,0,0
62646,29872,0,0,4408,14648,256,17,57,6,UNDEFINED,0,3,1409,233,50,0,5,TM_OBJECT,22,192,0,0,0
62676,29902,0,30682,20084,8636,1024,78,33,6,UNDEFINED,0,1049,4640,1049,50,0,5,TM_OBJECT,10,128,0,0,0
62706,29932,0,0,4428,15012,256,17,58,6,UNDEFINED,0,3,1409,233,50,0,5,TM_OBJECT,22,192,0,0,0
62736,29962,0,0,4456,15896,256,17,62,6,UNDEFINED,0,3,1409,233,50,0,5,TM_OBJECT,22,192,0,0,0
62766,29992,0,30022,13932,15204,256,54,59,6,UNDEFINED,0,3,1409,233,50,0,5,TM_OBJECT,22,192,0,0,0
62796,30022,29992,30052,14048,15200,256,54,59,6,UNDEFINED,0,3,1409,233,50,0,5,TM_OBJECT,22,192,0,0,0
62826,30052,30022,0,13932,15316,256,54,59,6,UNDEFINED,0,3,1409,233,50,0,5,TM_OBJECT,22,192,0,0,0
62856,30082,29302,0,19088,17328,256,74,67,6,UNDEFINED,0,3,1409,233,50,0,5,TM_OBJECT,22,192,0,0,0
62886,30112,0,0,19880,16712,256,77,65,6,UNDEFINED,0,3,1409,233,50,0,5,TM_OBJECT,22,192,0,0,0
62916,30142,27592,0,7156,17532,512,27,68,6,UNDEFINED,0,0,1886,550,50,0,5,TM_OBJECT,19,0,0,0,0
62946,30172,0,0,7284,17532,512,28,68,6,UNDEFINED,0,0,1886,550,50,0,5,TM_OBJECT,19,0,0,0,0
62976,30202,28042,0,7912,17528,512,30,68,6,UNDEFINED,0,0,2671,552,50,0,5,TM_OBJECT,18,0,0,0,0
63006,30232,0,0,5160,4728,512,20,18,6,UNDEFINED,0,0,1886,550,50,0,5,TM_OBJECT,19,0,0,0,0
63036,30262,0,0,5048,4728,512,19,18,6,UNDEFINED,0,0,1886,550,50,0,5,TM_OBJECT,19,0,0,0,0
63066,30292,0,0,5536,4720,512,21,18,6,UNDEFINED,0,0,1886,550,50,0,5,TM_OBJECT,19,0,0,0,0
63096,30322,0,0,5648,4720,512,22,18,6,UNDEFINED,0,0,1886,550,50,0,5,TM_OBJECT,19,0,0,0,0
63126,30352,0,30412,7152,4480,512,27,17,6,UNDEFINED,0,0,1886,550,50,0,5,TM_OBJECT,19,0,0,0,0
63156,30382,26932,0,6888,4472,512,26,17,6,UNDEFINED,0,0,1886,550,50,0,5,TM_OBJECT,19,0,0,0,0
63186,30412,30352,0,7016,4472,512,27,17,6,UNDEFINED,0,0,1886,550,50,0,5,TM_OBJECT,19,0,0,0,0
63216,30442,0,30472,15900,14132,256,62,55,6,UNDEFINED,0,1061,4908,1061,50,0,5,TM_OBJECT,10,0,0,0,0
63246,30472,30442,0,16044,14276,256,62,55,6,UNDEFINED,0,1065,4694,1065,50,0,5,TM_OBJECT,10,0,0,0,0
63276,30502,0,0,18024,14264,512,70,55,6,UNDEFINED,0,0,1887,551,50,0,5,TM_OBJECT,19,64,0,0,0
63306,30532,0,30562,18024,14520,512,70,56,6,UNDEFINED,0,0,1887,551,50,0,5,TM_OBJECT,19,64,0,0,0
63336,30562,30532,0,18024,14392,512,70,56,6,UNDEFINED,0,0,1887,551,50,0,5,TM_OBJECT,19,64,0,0,0
63366,30592,0,0,14892,17764,512,58,69,6,UNDEFINED,0,1075,4978,1075,50,0,5,TM_OBJECT,10,128,0,0,0
63396,30622,27502,0,16148,10284,256,63,40,6,UNDEFINED,0,0,2288,558,50,0,5,TM_OBJECT,22,128,0,0,0
63426,30652,0,0,16156,9252,256,63,36,6,UNDEFINED,0,0,2288,558,50,0,5,TM_OBJECT,22,128,0,0,0
63456,30682,29902,30712,20084,8636,896,78,33,6,UNDEFINED,0,1049,4850,1049,50,0,5,TM_OBJECT,10,128,0,0,0
63486,30712,30682,30742,20088,8632,768,78,33,6,UNDEFINED,0,1049,4640,1049,50,0,5,TM_OBJECT,10,128,0,0,0
63516,30742,30712,30772,20080,8624,640,78,33,6,UNDEFINED,0,1049,4850,1049,50,0,5,TM_OBJECT,10,128,0,0,0
63546,30772,30742,0,20064,8608,512,78,33,6,UNDEFINED,0,1049,4641,1049,50,0,5,TM_OBJECT,10,128,0,0,0
63576,30802,0,0,13988,5468,256,54,21,6,UNDEFINED,0,0,2521,561,50,0,5,TM_OBJECT,25,128,0,0,0
63606,30832,0,30862,22868,11308,640,89,44,6,UNDEFINED,0,1071,4696,1072,50,0,5,TM_OBJECT,10,192,0,0,0
63636,30862,30832,0,22836,11276,512,89,44,6,UNDEFINED,0,1073,4974,1074,50,0,5,TM_OBJECT,10,192,0,0,0
63666,30892,0,0,22812,11252,384,89,43,6,UNDEFINED,0,1075,4985,1076,50,0,5,TM_OBJECT,10,192,0,0,0
63696,30922,0,0,4220,12772,384,16,49,6,UNDEFINED,0,0,2725,619,50,0,5,TM_OBJECT,1,192,0,0,0
63726,30952,0,0,8284,14756,384,32,57,6,UNDEFINED,0,1075,4978,1075,50,0,5,TM_OBJECT,10,0,0,0,0
63756,30982,0,0,6412,17236,256,25,67,6,UNDEFINED,0,0,2460,562,50,0,5,TM_OBJECT,26,0,0,0,0
63786,31012,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
63816,31042,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
63846,31072,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
63876,31102,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
63906,31132,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
63936,31162,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
63966,31192,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
63996,31222,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64026,31252,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64056,31282,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64086,31312,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64116,31342,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64146,31372,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64176,31402,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64206,31432,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64236,31462,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64266,31492,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64296,31522,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64326,31552,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64356,31582,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64386,31612,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64416,31642,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64446,31672,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64476,31702,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64506,31732,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64536,31762,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64566,31792,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64596,31822,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64626,31852,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64656,31882,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64686,31912,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64716,31942,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64746,31972,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64776,32002,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64806,32032,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64836,32062,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64866,32092,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64896,32122,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64926,32152,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64956,32182,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
64986,32212,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
65016,32242,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
65046,32272,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
65076,32302,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
65106,32332,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
65136,32362,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
65166,32392,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
65196,32422,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
65226,32452,0,0,0,0,0,0,0,0,TS_NONE,0,0,0,0,0,0,0,TM_NONE,0,0,0,0,0
