GloOfs,RelOfs,Child,Parent,Xpos,Ypos,Zpos,Status,Affect,BaseFrame,Frame,OldFrame,Life,WhoShotMe,Model,State,Angle,ZAngle,Unique,HugDistance,Persuaded,ChildHeld,ParentHeld,Command,StartCommand,Target,Data,GotoX,GotoY,GotoZ,LastXpos,LastYpos,HugGotoZ,ChildWeapon,Equipment,ParentRank,RankPosition,Count,WeaponHolding,WeaponInUse,Level1Base,Level1Balance,Level1True,Level1Fixed,Level2Base,Level2Balance,Level2True,Level2Fixed,Level3Base,Level3Balance,Level3True,Level3Fixed,LevelRecovery,Speed,MaxSpeed,BaseSpeed,OldState,NewState,HugChangeDir,HugStartAngle,HitAngle
35996,3222,0,38962,9734,21344,256,4100,0,833,3629,845,0,0,1,29,124,0,4,10883,0,0,0,0,0,0,0,0,0,0,0,0,0,38962,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,50,178,50,103,16,32,32,0,29,4,64,199
36088,3314,0,6258,6705,533,512,4365,0,833,4623,1039,65535,0,1,26,191,0,4,6726,0,0,0,0,0,0,0,0,0,0,0,0,0,38998,0,0,0,5,0,0,128,80,208,80,128,80,208,80,128,50,178,50,104,0,32,32,0,29,0,128,142
36180,3406,0,39034,18124,11591,256,4100,0,833,3627,845,0,0,1,29,132,0,4,21946,0,0,0,0,0,0,0,0,0,0,0,0,0,39034,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,34,16,32,32,0,29,4,64,206
36272,3498,0,39070,30451,6796,441,4100,0,833,3613,841,0,0,1,29,0,0,4,31120,0,0,0,0,0,0,0,0,0,0,0,0,0,39070,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,6,16,32,32,0,29,4,64,137
36364,3590,0,39106,18366,11872,256,4100,0,833,3637,847,0,0,1,29,178,0,4,22861,0,0,0,0,0,0,0,0,0,0,0,0,0,39106,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,50,178,50,68,16,32,32,0,29,4,0,200
36456,3682,0,39142,14828,3981,256,4100,0,833,3621,843,0,0,1,29,67,0,4,13937,0,0,0,0,0,0,0,0,0,0,0,0,0,39142,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,46,16,32,32,0,29,4,0,7
36548,3774,0,39178,30460,8314,256,4100,0,833,3628,845,0,0,1,29,126,0,4,31464,0,0,0,0,0,0,0,0,0,0,0,0,0,39178,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,39,16,32,32,0,29,4,0,74
36640,3866,0,39214,16082,7361,256,4100,0,833,3613,841,0,0,1,29,251,0,4,17208,0,0,0,0,0,0,0,0,0,0,0,0,0,39214,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,60,16,32,32,0,29,4,64,72
36732,3958,0,39250,8958,4363,256,4100,0,833,3628,845,0,0,1,29,128,0,4,9981,0,0,0,0,0,0,0,0,0,0,0,0,0,39250,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,50,178,50,82,16,32,32,0,29,4,64,72
36824,4050,0,39286,18910,9226,256,4100,0,833,3615,842,0,0,1,29,26,0,4,19861,0,0,0,0,0,0,0,0,0,0,0,0,0,39286,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,43,16,32,32,0,29,4,192,207
36916,4142,0,39322,23379,8507,256,4100,0,833,3612,841,0,0,1,29,250,0,4,24117,0,0,0,0,0,0,0,0,0,0,0,0,0,39322,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,52,16,32,32,0,29,4,192,14
37008,4234,0,8374,8192,1015,256,4100,0,833,3635,847,0,0,1,15,192,0,4,8460,0,0,0,0,0,0,0,0,0,0,0,0,0,39358,0,0,0,1,0,0,128,80,208,80,128,80,208,80,128,50,178,50,65,23,32,32,0,29,4,0,140
37100,4326,0,39394,7648,7377,256,4100,0,833,3611,841,0,0,1,29,1,0,4,9046,0,0,0,0,0,0,0,0,0,0,0,0,0,39394,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,61,16,32,32,0,29,4,128,207
37192,4418,0,39430,19876,1249,256,4100,0,833,3626,845,0,0,1,29,140,0,4,20068,0,0,0,0,0,0,0,0,0,0,0,0,0,39430,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,13,16,32,32,0,29,4,0,20
37284,4510,0,39466,17092,5379,256,4100,0,833,3636,847,0,0,1,29,190,0,4,17971,0,0,0,0,0,0,0,0,0,0,0,0,0,39466,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,50,178,50,206,16,32,32,0,29,3,64,211
37376,4602,0,5706,17589,23785,128,4365,0,833,4623,1039,65535,0,1,26,129,0,4,29601,0,0,0,0,0,0,0,0,0,0,0,0,0,39502,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,50,178,50,23,0,32,32,0,29,3,128,201
37468,4694,0,5246,31999,16936,128,4365,0,833,4623,1039,65535,0,1,26,129,0,4,16945,0,0,0,0,0,0,0,0,0,0,0,0,0,39538,0,0,0,5,0,0,128,80,208,80,128,80,208,80,128,50,178,50,200,0,32,32,0,29,0,64,0
37560,4786,0,39574,18702,4354,256,4100,0,833,3611,841,0,0,1,29,0,0,4,19135,0,0,0,0,0,0,0,0,0,0,0,0,0,39574,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,11,16,32,32,0,29,4,192,7
37652,4878,0,39610,17404,10211,896,4100,0,833,3626,845,0,0,1,29,130,0,4,20319,0,0,0,0,0,0,0,0,0,0,0,0,0,39610,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,38,16,32,32,0,29,4,0,206
37744,4970,0,39646,7753,925,256,4100,0,833,3636,847,0,0,1,29,186,0,4,8493,0,0,0,0,0,0,0,0,0,0,0,0,0,39646,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,50,178,50,9,16,32,32,0,29,4,0,152
37836,5062,0,39682,24819,5143,256,4100,0,833,3613,841,0,0,1,29,254,0,4,25248,0,0,0,0,0,0,0,0,0,0,0,0,0,39682,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,253,16,32,32,0,29,4,192,74
37928,5154,0,39718,18152,20628,256,4100,0,833,3636,847,0,0,1,29,187,0,4,30757,0,0,0,0,0,0,0,0,0,0,0,0,0,39718,0,0,0,4,0,0,128,80,208,80,128,80,208,80,128,50,178,50,46,16,32,32,0,29,4,0,207
38020,5246,4694,8282,31999,17108,128,4365,0,833,4623,1039,65535,0,1,26,129,0,4,36296,0,0,0,0,0,0,0,0,0,0,0,0,0,39754,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,50,178,50,32,0,32,32,0,29,3,128,146
38112,5338,0,39790,8649,13069,384,4100,0,833,3636,847,0,0,1,29,187,0,4,15731,0,0,0,0,0,0,0,0,0,0,0,0,0,39790,0,0,0,7,0,0,128,80,208,80,128,80,208,80,128,50,178,50,89,16,32,32,0,29,4,128,7
38204,5430,0,39826,8677,19152,256,4100,0,833,3610,841,0,0,1,29,0,0,4,18099,0,0,0,0,0,0,0,0,0,0,0,0,0,39826,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,247,16,32,32,0,29,4,192,199
38296,5522,0,39862,20472,1327,256,4100,0,833,3613,841,0,0,1,29,1,0,4,20501,0,0,0,0,0,0,0,0,0,0,0,0,0,39862,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,66,16,32,32,0,29,4,64,207
38388,5614,0,39898,30864,4075,256,4100,0,833,3620,843,0,0,1,29,61,0,4,30975,0,0,0,0,0,0,0,0,0,0,0,0,0,39898,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,50,178,50,131,16,32,32,0,29,4,192,17
38480,5706,4602,9846,17648,23807,128,4365,0,833,4623,1039,65535,0,1,26,255,0,4,17657,0,0,0,0,0,0,0,0,0,0,0,0,0,39934,0,0,0,5,0,0,128,80,208,80,128,80,208,80,128,50,178,50,191,0,32,32,0,29,0,192,146
38572,5798,0,0,31625,23796,128,4365,0,1330,6890,1536,65535,0,1,26,127,0,16,39584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,128,128,80,128,128,128,80,128,128,128,80,0,0,32,32,0,29,3,128,0
38664,5890,0,0,14195,22117,256,4100,0,1330,5964,1344,0,0,1,29,195,0,16,30599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,128,128,80,128,128,128,80,128,128,128,80,0,16,32,32,0,29,4,0,0
38756,5982,0,0,5630,2652,256,4100,0,1330,583,1342,0,0,1,29,127,0,16,6395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,128,128,80,128,128,128,80,128,128,128,80,0,16,32,32,0,29,4,64,199
38848,6074,0,0,18774,3614,256,4100,0,1330,583,1342,0,0,1,29,138,0,16,19540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,128,128,80,128,128,128,80,128,128,128,80,0,16,32,32,0,29,4,64,0
38940,6166,0,0,31087,10026,256,4100,0,1330,5962,1338,0,0,1,29,7,0,16,31564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,128,80,128,128,128,80,128,128,128,80,0,16,32,32,0,29,4,192,0
39032,6258,3314,8834,6748,524,512,4365,0,1330,6890,1536,65535,0,1,26,192,0,16,6767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,128,128,128,80,128,128,128,80,128,128,128,80,0,0,32,32,0,29,0,128,141
39124,6350,0,0,7203,17111,256,4100,0,1330,583,1342,0,0,1,29,115,0,16,21060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,128,128,80,128,128,128,80,128,128,128,80,0,16,32,32,0,29,4,192,199
39216,6442,2762,6718,31999,16661,128,4365,0,1123,5846,1329,65535,0,1,26,129,0,16,16670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,128,128,128,80,128,128,128,80,128,128,128,80,0,0,32,32,0,29,0,64,199
39308,6534,0,0,31042,23796,128,4365,0,1123,5846,1329,65535,0,1,26,129,0,16,39121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,128,128,80,128,128,128,80,128,128,128,80,0,0,32,32,0,29,3,128,135
39400,6626,0,0,31999,20477,128,4365,0,1123,5846,1329,65535,0,1,26,63,0,16,20485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,128,128,128,80,128,128,128,80,128,128,128,80,0,0,32,32,0,29,0,0,0
39492,6718,6442,38782,31999,16869,128,4365,0,1,8815,205,65535,0,1,26,129,0,16,16878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,128,128,128,80,128,128,128,80,128,128,128,80,0,0,32,32,0,29,0,64,0
39584,6810,0,0,30718,23807,128,4365,0,1,8815,205,65535,0,1,26,1,0,16,30724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,128,128,128,80,128,128,128,80,128,128,128,80,0,0,32,32,0,29,0,192,0
39676,6902,0,0,14533,3615,256,4100,0,1,396,15,0,0,1,29,195,0,16,16081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,128,128,128,80,128,128,128,80,128,128,128,80,0,16,32,32,0,29,4,128,212
39768,6994,0,0,30850,23796,128,4365,0,1,8815,205,65535,0,1,26,129,0,16,38969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,128,128,80,128,128,128,80,128,128,128,80,0,0,32,32,0,29,3,128,0
39860,7086,0,0,15043,3572,256,4100,0,626,498,640,0,0,1,29,199,0,1,16258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,80,208,80,217,16,32,32,0,29,4,128,208
39952,7178,0,0,32000,15117,128,4365,0,626,3601,832,65535,0,1,26,192,0,1,15079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,128,80,208,80,128,80,208,80,128,80,208,80,234,0,32,32,0,29,0,0,206
40044,7270,0,9570,31365,23785,128,4365,0,626,3601,832,65535,0,1,26,127,0,1,39377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,80,208,80,242,0,32,32,0,29,3,128,0
40136,7362,0,0,31999,22460,128,4365,0,626,3601,832,65535,0,1,26,129,0,1,39108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,80,208,80,203,0,32,32,0,29,3,128,0
40228,7454,0,0,16163,11264,256,4100,0,626,497,640,0,0,1,14,192,0,1,19833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,128,80,208,80,128,80,208,80,128,80,208,80,200,23,32,32,0,29,4,128,0
40320,7546,0,7822,17265,23785,128,4365,0,626,3601,832,65535,0,1,26,128,0,1,29409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,80,208,80,69,0,32,32,0,29,3,128,0
40412,7638,0,0,31999,23455,128,4365,0,626,3601,832,65535,0,1,26,129,0,1,39688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,80,208,80,27,0,32,32,0,29,3,128,78
40504,7730,0,8558,16743,23785,128,4365,0,626,3601,832,65535,0,1,26,127,0,1,29105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,80,208,80,150,0,32,32,0,29,3,128,0
40596,7822,7546,0,17284,23785,128,4365,0,626,3601,832,65535,0,1,26,128,0,1,29420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,80,208,80,157,0,32,32,0,29,3,128,0
40688,7914,2854,38818,18896,2310,256,4100,0,626,478,636,0,0,1,29,64,0,1,18831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,80,208,80,200,23,32,32,0,29,4,128,9
40780,8006,0,0,17640,2988,256,4100,0,626,464,634,0,0,1,29,252,0,1,17845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,80,208,80,180,16,32,32,0,29,4,64,8
40872,8098,0,0,8950,15640,256,4100,0,626,498,640,0,0,1,29,187,0,1,19477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,80,208,80,224,16,32,32,0,29,3,64,202
40964,8190,0,0,18981,10899,256,4100,0,626,480,636,0,0,1,29,69,0,1,19418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,80,208,80,182,16,32,32,0,29,3,192,210
41056,8282,5246,12146,31999,17014,128,4365,0,626,3601,832,65535,0,1,26,129,0,1,17023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,128,80,208,80,128,80,208,80,128,80,208,80,127,0,32,32,0,29,0,64,73
41148,8374,4234,39358,8438,991,256,4100,0,626,468,634,0,0,1,15,0,0,1,8481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,128,80,208,80,128,80,208,80,128,80,208,80,192,23,32,32,0,29,4,64,201
41240,8466,0,8650,31999,17615,128,4365,0,626,3601,832,65535,0,1,26,129,0,1,36539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,80,208,80,49,0,32,32,0,29,3,128,0
41332,8558,7730,0,16712,23785,128,4365,0,626,3601,832,65535,0,1,26,127,0,1,29088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,80,208,80,151,0,32,32,0,29,3,128,137
41424,8650,8466,0,31999,17535,128,4365,0,1123,5846,1329,65535,0,1,26,129,0,1,36500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,80,208,80,234,0,32,32,0,29,3,128,142
41516,8742,0,11226,31999,23556,128,4365,0,1123,5846,1329,65535,0,1,26,129,0,1,39748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,80,208,80,190,0,32,32,0,29,3,128,0
41608,8834,6258,12606,6776,535,512,4365,0,1123,5846,1329,65535,0,1,26,192,0,1,6795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,128,80,208,80,128,80,208,80,128,80,208,80,100,0,32,32,0,29,0,128,199
41700,8926,0,0,22561,13056,384,4100,0,1123,530,1137,0,0,1,29,191,0,1,26259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,80,208,80,250,16,32,32,0,29,4,128,207
41792,9018,0,0,7612,2468,256,4100,0,1123,4777,1131,0,0,1,29,8,0,1,7535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,80,208,80,188,16,32,32,0,29,4,192,206
41884,9110,0,0,17699,23785,128,4365,0,1123,5846,1329,65535,0,1,26,127,0,1,29666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,128,80,208,80,128,80,208,80,128,80,208,80,142,0,32,32,0,29,3,128,0
41976,9202,0,12514,7475,13041,256,4100,0,1123,512,1133,0,0,1,29,59,0,1,14824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,80,208,80,232,16,32,32,0,29,4,0,207
42068,9294,0,0,16525,9997,896,4100,0,1123,511,1133,0,0,1,29,63,0,1,18990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,80,208,80,128,80,208,80,128,80,208,80,185,16,32,32,0,29,4,128,207
